En quelle année est mort JFK,1963
Combien de dieu trône a l’Olympe,12
Quelle est la voiture dans Retour vers le futur,dolorean
De combien de syllabes est composé un alexandrin,12
À quel pays est rattachée l'île de Pâques,chili
En quelle année est entrée en circulation la monnaie Euro,2002
Quel super-héros est amoureux de Loïs Lane,superman 
Sous quel nom est plus connu l'acide désoxyribonucléique,adn 
278 + 146 + 23,447
Quel est le symbole chimique du plutonium,pu
Quel pays a été le premier en Europe à légaliser le mariage homosexuel en 2001, soit 12 ans avant la France,pays-bas
Quel est le pourcentage d’eau salée sur Terre,97
Quelle est l'année de l'invention de l'escalator,1892
Quel pays est depuis 2016 le plus gros producteur de vin au monde,italie
Quel est le nom de l’île principale du Japon qui contient notamment Tokyo et Hiroshima,honshu
Combien de ponts la ville de Venise possède-t-elle au total,435
Combien fait DLXXVIII en chiffres arabes,578
Dans quel film le méchant se nomme-t-il Dennis Nedry,jurassic park
Quelle est la monnaie utilisée au Bangladesh,takas
En quelle année se sont déroulés les premiers Jeux Paralympiques,1960
